treeid,year,latbi,site,plot,replicate,provenance.lat,provenance.long,sampleType,lengthCM,BAI,budburst,flowers,leafout,flobuds,flobudburst,fruit,ripefruit,budset,leafcolor,pgsGDD5,pgsGSL
BETALL_SH2_P6,2020,Betula alleghaniensis,SH,2,P6,45.932675,-74.02507,cookie,0.2243666666666667,142.8205700584207,98,NA,148,NA,NA,NA,NA,255,275,1899.138888888888,107
BETALL_SH4_P3,2018,Betula alleghaniensis,SH,4,P3,45.932675,-74.02507,cookie,0.40978666666666663,175.77614888894982,103,NA,131,NA,NA,NA,NA,263,268,2147.6722222222215,132
BETALL_SH4_P3,2019,Betula alleghaniensis,SH,4,P3,45.932675,-74.02507,cookie,0.23791333333333334,149.67801127554023,107,NA,135,NA,NA,NA,NA,263,240,1991.202777777778,128
BETALL_SH4_P3,2020,Betula alleghaniensis,SH,4,P3,45.932675,-74.02507,cookie,0.22267333333333333,173.44867253496204,108,NA,135,NA,NA,NA,NA,248,275,1914.2499999999995,113
BETALL_SH4A_P9,2018,Betula alleghaniensis,SH,4A,P9,45.932675,-74.02507,core,0.22225,15.834608721796803,103,NA,124,NA,NA,NA,NA,239,274,1821.5999999999995,115
BETALL_SH4A_P9,2019,Betula alleghaniensis,SH,4A,P9,45.932675,-74.02507,core,0.16764,33.68591321040165,107,NA,119,NA,NA,NA,NA,263,232,2077.855555555556,144
BETALL_SH4A_P9,2020,Betula alleghaniensis,SH,4A,P9,45.932675,-74.02507,core,0.21844000000000002,68.27173890368047,NA,NA,143,NA,NA,NA,NA,282,293,2249.36111111111,139
BETALL_SH5_P6,2018,Betula alleghaniensis,SH,5,P6,45.932675,-74.02507,cookie,0.2937933333333333,51.67132627847429,110,NA,131,NA,NA,NA,NA,263,274,2147.6722222222215,132
BETALL_SH5_P6,2019,Betula alleghaniensis,SH,5,P6,45.932675,-74.02507,cookie,0.2794,99.78489044371203,107,NA,119,NA,NA,NA,NA,263,240,2077.855555555556,144
BETALL_SH5_P6,2020,Betula alleghaniensis,SH,5,P6,45.932675,-74.02507,cookie,0.25992666666666664,137.44947077998722,108,NA,143,NA,NA,NA,NA,268,275,2082.86111111111,125
BETALL_SH9_P6,2018,Betula alleghaniensis,SH,9,P6,45.932675,-74.02507,cookie,0.4715933333333333,217.7376086479718,114,NA,131,NA,NA,NA,NA,239,NA,1748.8972222222217,108
BETALL_SH9_P6,2019,Betula alleghaniensis,SH,9,P6,45.932675,-74.02507,cookie,0.37761333333333336,276.0164004538775,112,NA,127,NA,NA,NA,NA,249,240,1876.838888888889,122
BETALL_SH9_P6,2020,Betula alleghaniensis,SH,9,P6,45.932675,-74.02507,cookie,0.42418,417.022282127157,108,NA,148,NA,NA,NA,NA,263,275,1983.4444444444432,115
BETALL_SH9_P9,2018,Betula alleghaniensis,SH,9,P9,45.932675,-74.02507,cookie,0.14901333333333333,18.82384504348598,110,NA,128,NA,NA,NA,NA,239,NA,1780.5749999999994,111
BETALL_SH9_P9,2019,Betula alleghaniensis,SH,9,P9,45.932675,-74.02507,cookie,0.37592000000000003,119.28164301943951,112,NA,119,NA,NA,NA,NA,263,245,2077.855555555556,144
BETALL_SH9_P9,2020,Betula alleghaniensis,SH,9,P9,45.932675,-74.02507,cookie,0.45212,303.8704483848531,NA,NA,154,NA,NA,NA,NA,268,275,1954.11111111111,114
BETALL_WM8_P1,2018,Betula alleghaniensis,WM,8,P1,44.112337,-71.230138,cookie,0.5139266666666666,180.547982122104,114,NA,138,NA,NA,NA,NA,277,297,2232.783333333333,139
BETALL_WM8_P1,2019,Betula alleghaniensis,WM,8,P1,44.112337,-71.230138,cookie,0.36576,230.2005858038539,112,NA,135,NA,NA,NA,NA,260,267,1965.530555555556,125
BETALL_WM8_P1,2020,Betula alleghaniensis,WM,8,P1,44.112337,-71.230138,cookie,0.40978666666666663,363.36871619045337,108,NA,143,NA,NA,NA,NA,268,275,2082.86111111111,125
BETALL_WM8_P9,2018,Betula alleghaniensis,WM,8,P9,44.112337,-71.230138,core,0.45339000000000007,190.26156449640308,103,NA,131,NA,NA,NA,NA,239,268,1748.8972222222217,108
BETALL_WM8_P9,2019,Betula alleghaniensis,WM,8,P9,44.112337,-71.230138,core,0.51054,369.85592314284554,107,NA,119,NA,NA,NA,NA,260,232,2052.183333333334,141
BETALL_WM8_P9,2020,Betula alleghaniensis,WM,8,P9,44.112337,-71.230138,core,0.23368,224.13090581423793,NA,NA,NA,NA,NA,NA,NA,268,293,NA,NA
BETALL_WM8A_P12,2018,Betula alleghaniensis,WM,8A,P12,44.112337,-71.230138,cookie,0.309245,105.7789021164494,110,NA,142,NA,NA,NA,NA,268,288,2091.555555555555,126
BETALL_WM8A_P12,2019,Betula alleghaniensis,WM,8A,P12,44.112337,-71.230138,cookie,0.34967333333333334,195.21006973726924,107,NA,115,NA,NA,NA,NA,260,240,2068.222222222223,145
BETALL_WM8A_P12,2020,Betula alleghaniensis,WM,8A,P12,44.112337,-71.230138,cookie,0.08382,59.14222135028774,NA,NA,135,NA,NA,NA,NA,248,268,1914.2499999999995,113
BETALL_WM8A_P5,2018,Betula alleghaniensis,WM,8A,P5,44.112337,-71.230138,cookie,0.635,363.8835309892164,103,NA,131,NA,NA,NA,NA,256,281,2041.5138888888885,125
BETALL_WM8A_P5,2019,Betula alleghaniensis,WM,8A,P5,44.112337,-71.230138,cookie,0.5249333333333334,493.12906987762915,107,NA,123,NA,NA,NA,NA,249,240,1902.0638888888889,126
BETALL_WM8A_P5,2020,Betula alleghaniensis,WM,8A,P5,44.112337,-71.230138,cookie,0.5427133333333334,692.1239066787705,108,NA,135,NA,NA,NA,NA,263,275,2112.2777777777765,128
BETALL_WM8B_P12,2018,Betula alleghaniensis,WM,8B,P12,44.112337,-71.230138,cookie,0.6917266666666667,246.41995440477874,96,NA,138,NA,NA,NA,NA,268,NA,2132.0777777777776,130
BETALL_WM8B_P12,2019,Betula alleghaniensis,WM,8B,P12,44.112337,-71.230138,cookie,0.5461,420.51518568306915,103,NA,127,NA,NA,NA,NA,274,240,2193.694444444445,147
