"year","budburst","flowers","leafout","flobuds","flobudburst","fruit","ripefruit","budset","leafcolor","provenance.lat","provenance.long","treeid","spp"
2018,110,NA,131,NA,NA,NA,NA,246,268,44.794942,-71.146683,"BETPAP_GR8_P6","BETPAP"
2018,NA,NA,135,NA,NA,NA,NA,NA,NA,44.794942,-71.146683,"BETPAP_GR9_P9","BETPAP"
2018,110,NA,124,NA,NA,NA,NA,274,274,42.531705,-72.18992,"BETPAP_HF16_P12","BETPAP"
2018,103,NA,124,NA,NA,NA,NA,263,NA,42.531705,-72.18992,"BETPAP_HF16_P2","BETPAP"
2018,110,NA,124,NA,NA,NA,NA,270,274,42.531705,-72.18992,"BETPAP_HF16_P3","BETPAP"
2018,107,NA,124,NA,NA,NA,NA,268,NA,42.531705,-72.18992,"BETPAP_HF16_P5","BETPAP"
2018,100,NA,124,NA,NA,NA,NA,274,NA,42.531705,-72.18992,"BETPAP_HF16A_P6","BETPAP"
2018,103,NA,124,NA,NA,NA,NA,274,274,42.531705,-72.18992,"BETPAP_HF16B_P6","BETPAP"
2018,103,NA,128,NA,NA,NA,NA,263,NA,45.932675,-74.02507,"BETPAP_SH1A_P1","BETPAP"
2018,107,NA,124,NA,NA,NA,NA,263,268,45.932675,-74.02507,"BETPAP_SH1B_P1","BETPAP"
2019,107,NA,127,NA,NA,NA,NA,274,232,44.794942,-71.146683,"BETPAP_GR5_P1","BETPAP"
2019,112,NA,127,NA,NA,NA,NA,263,245,44.794942,-71.146683,"BETPAP_GR5A_P2","BETPAP"
2019,100,NA,155,NA,NA,NA,NA,NA,240,44.794942,-71.146683,"BETPAP_GR5B_P2","BETPAP"
2019,107,NA,115,NA,NA,NA,NA,260,240,44.794942,-71.146683,"BETPAP_GR8_P12","BETPAP"
2019,112,NA,123,NA,NA,NA,NA,274,232,44.794942,-71.146683,"BETPAP_GR8_P3","BETPAP"
2019,NA,NA,119,NA,NA,NA,NA,274,232,44.794942,-71.146683,"BETPAP_GR8_P5","BETPAP"
2019,NA,NA,135,NA,NA,NA,NA,263,232,44.794942,-71.146683,"BETPAP_GR8_P6","BETPAP"
2019,103,NA,119,NA,NA,NA,NA,NA,232,42.531705,-72.18992,"BETPAP_HF16_P12","BETPAP"
2019,107,NA,115,NA,NA,NA,NA,NA,240,42.531705,-72.18992,"BETPAP_HF16_P2","BETPAP"
2019,103,NA,119,NA,NA,NA,NA,274,232,42.531705,-72.18992,"BETPAP_HF16_P3","BETPAP"
2019,103,NA,119,NA,NA,NA,NA,274,232,42.531705,-72.18992,"BETPAP_HF16_P5","BETPAP"
2019,100,NA,115,NA,NA,NA,NA,274,232,42.531705,-72.18992,"BETPAP_HF16A_P6","BETPAP"
2019,NA,NA,115,NA,NA,NA,NA,267,240,42.531705,-72.18992,"BETPAP_HF16B_P6","BETPAP"
2019,NA,NA,129,NA,NA,NA,NA,274,232,45.932675,-74.02507,"BETPAP_SH1A_P1","BETPAP"
2019,107,NA,119,NA,225,NA,NA,274,232,45.932675,-74.02507,"BETPAP_SH1B_P1","BETPAP"
2020,119,NA,148,NA,NA,NA,NA,255,241,44.794942,-71.146683,"BETPAP_GR5_P1","BETPAP"
2020,111,NA,135,NA,NA,NA,NA,263,293,44.794942,-71.146683,"BETPAP_GR5A_P2","BETPAP"
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.794942,-71.146683,"BETPAP_GR5B_P2","BETPAP"
2020,NA,NA,143,NA,NA,NA,NA,255,268,44.794942,-71.146683,"BETPAP_GR8_P12","BETPAP"
2020,111,NA,157,NA,NA,NA,NA,NA,282,44.794942,-71.146683,"BETPAP_GR8_P3","BETPAP"
2020,108,NA,148,NA,NA,NA,NA,282,293,44.794942,-71.146683,"BETPAP_GR8_P5","BETPAP"
2020,108,NA,130.5,NA,NA,NA,NA,268,275,44.794942,-71.146683,"BETPAP_GR8_P6","BETPAP"
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.794942,-71.146683,"BETPAP_GR9_P9","BETPAP"
2020,NA,NA,148,NA,NA,NA,NA,293,301,42.531705,-72.18992,"BETPAP_HF16_P12","BETPAP"
2020,100,NA,130.5,NA,NA,NA,NA,282,293,42.531705,-72.18992,"BETPAP_HF16_P2","BETPAP"
2020,98,NA,135.5,NA,NA,NA,NA,282,293,42.531705,-72.18992,"BETPAP_HF16_P3","BETPAP"
2020,108,NA,143,NA,NA,NA,NA,293,263,42.531705,-72.18992,"BETPAP_HF16_P5","BETPAP"
2020,85,NA,132.5,NA,NA,NA,311,293,301,42.531705,-72.18992,"BETPAP_HF16A_P6","BETPAP"
2020,98,NA,143,NA,NA,NA,NA,282,293,42.531705,-72.18992,"BETPAP_HF16B_P6","BETPAP"
2020,119,NA,133,NA,NA,NA,NA,275,293,45.932675,-74.02507,"BETPAP_SH1A_P1","BETPAP"
2020,100,NA,148,NA,NA,NA,NA,282,255,45.932675,-74.02507,"BETPAP_SH1B_P1","BETPAP"
2018,NA,NA,142,NA,NA,NA,NA,NA,NA,44.794942,-71.146683,"BETPOP_GR3_P16","BETPOP"
