"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-26","11.6",,"0.0","0.0","0.0","1.7","-4.3","  350","  350","17.0","24.1",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-27","6.4",,"0.0","0.0","-0.9","7.8","-6.0","  290","  300","10.7","13.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-28","6.4",,"0.5","0.0","6.7","15.6","1.7","  210","  220","13.4","16.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-29","5.6",,"24.6","0.0","8.6","11.1","3.9","   40","   50","9.8","12.5","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-30","7.7",,"56.6","0.0","4.6","6.1","2.2","   10","   30","12.1","16.5","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-31","6.0",,"11.2","0.0","2.4","5.6","1.1","   10","  360","10.7","14.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-01","4.3",,"0.0","0.0","4.7","8.3","1.1","  100","   30","8.1","10.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-02","2.5",,"0.0","0.0","5.6","7.8","2.8","  100","  110","5.8","6.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-03","4.2",,"0.0","0.0","5.9","12.2","1.1","   90","  340","7.6","9.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-04","5.0",,"6.6","0.0","4.3","6.7","2.8","  110","  110","8.9","10.3","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-05","6.0",,"5.8","0.0","6.2","12.2","3.3","  290","  290","11.6","17.0","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-06","3.9",,"0.0","0.0","6.7","15.0","1.7","  270","  270","7.6","9.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-07","3.4",,"1.0","0.0","9.2","15.0","3.3","  180","  110","7.6","9.4","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-08","6.0",,"17.0","0.0","11.1","18.3","6.1","  280","  280","13.0","16.5","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-09","5.9",,"0.0","0.0","10.1","15.0","5.0","  320","  330","10.7","14.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-10","6.2",,"0.0","0.0","8.6","15.6","1.1","  190","  200","12.5","15.7",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-11","4.5",,"0.0","0.0","13.4","20.6","8.9","  210","  210","9.4","11.2",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-12","3.8",,"1.0","0.0","14.5","20.6","9.4","  270","  270","8.9","11.6",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-13","3.4",,"1.0","0.0","11.1","17.2","7.2","  220","  220","6.7","9.4","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-14","9.7",,"0.0","0.0","17.6","23.9","13.9","  230","  220","18.3","22.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-15","10.6",,"15.7","0.0","16.4","20.0","5.0","  190","  180","20.1","25.9","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-16","6.7",,"9.1","8.0","5.6","7.2","-0.5","  320","  320","11.6","15.7",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-17","6.2",,"0.0","0.0","2.2","4.4","0.0","   60","   70","9.8","12.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-18","3.9",,"0.0","0.0","2.9","5.6","-0.5","   70","   70","7.6","9.4",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-19","5.4",,"0.0","0.0","8.8","17.2","2.8","  340","  310","9.8","13.4",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-20","4.1",,"0.0","0.0","7.5","8.9","3.9","  120","  150","6.7","8.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-21","4.1",,"0.0","0.0","9.3","20.6","2.2","  230","  240","7.6","10.7",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-22","5.3",,"1.3","0.0","14.3","22.8","8.3","  190","  170","9.4","11.6","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-23","6.7",,"5.8","0.0","11.8","13.9","7.8","  320","  330","13.9","18.3","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-24","9.3",,"0.0","0.0","9.8","15.0","5.6","  330","  330","16.1","20.6",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-25","4.7",,"0.0","0.0","10.3","13.9","6.1","  110","  110","9.4","10.7",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-26","3.3",,"5.1","0.0","7.6","8.3","5.6","  110","  100","6.3","7.6","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-27","2.9",,"3.8","0.0","6.3","10.0","5.0","  320","  310","6.7","8.9","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-28","5.1",,"0.0","0.0","8.5","12.2","5.6","   50","   40","10.7","13.4",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-29","7.6",,"0.0","0.0","6.6","6.7","5.6","   60","   50","10.7","13.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-04-30","6.3",,"8.9","0.0","5.9","7.2","5.0","  110","  110","8.9","11.2","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-05-01","2.5",,"15.7","0.0","9.7","15.6","6.7","  300","  220","5.4","7.6",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-05-02","4.6",,"0.3","0.0","13.9","20.6","10.0","  250","  240","9.8","13.4","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-05-03","3.8",,"0.0","0.0","14.5","19.4","10.0","  110","  100","7.6","9.4",,,,,,,,
